H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
Min01	Min02	Min11	189734	158358	0.09013709	0.09013709	0.0245451	3.672304
Min01	Min03	Min11	163853	162125	0.005300971	0.005300971	0.02246357	0.2359808
Min02	Min03	Min11	156894	186611	-0.08651111	-0.08651111	0.02383938	-3.628916
Min01	Min04	Min11	155702	164959	-0.02886849	-0.02886849	0.02355893	-1.225373
Min02	Min04	Min11	152782	193434	-0.117418	-0.117418	0.02740721	-4.284202
Min03	Min04	Min11	157765	168893	-0.03406621	-0.03406621	0.0234109	-1.455143
Min01	Min05	Min11	161761	157204	0.01428683	0.01428683	0.02384875	0.59906
Min02	Min05	Min11	156761	183565	-0.07875978	-0.07875978	0.02417084	-3.258463
Min03	Min05	Min11	166893	163968	0.008840571	0.008840571	0.02446055	0.3614216
Min04	Min05	Min11	166128	152221	0.04368476	0.04368476	0.02346009	1.862088
Min01	Min06	Min11	167516	161009	0.01980671	0.01980671	0.02431199	0.8146892
Min02	Min06	Min11	162309	187168	-0.07113201	-0.07113201	0.02517842	-2.825118
Min03	Min06	Min11	159559	154746	0.01531315	0.01531315	0.02165537	0.7071296
Min04	Min06	Min11	171885	155930	0.04867074	0.04867074	0.02605681	1.86787
Min05	Min06	Min11	164646	162655	0.006083086	0.006083086	0.02652492	0.2293348
Min01	Min07	Min11	155593	164017	-0.02635712	-0.02635712	0.02241958	-1.17563
Min02	Min07	Min11	154325	194112	-0.1141871	-0.1141871	0.02495632	-4.575477
Min03	Min07	Min11	156169	166318	-0.03147104	-0.03147104	0.02442229	-1.288619
Min04	Min07	Min11	164063	163052	0.003090656	0.003090656	0.02448475	0.1262278
Min05	Min07	Min11	164561	177558	-0.03798971	-0.03798971	0.02764096	-1.374399
Min06	Min07	Min11	153107	168138	-0.04678983	-0.04678983	0.02386548	-1.960566
Min01	Min08	Min11	163479	163672	-0.0005899416	-0.0005899416	0.02267795	-0.02601389
Min02	Min08	Min11	162398	194216	-0.08922252	-0.08922252	0.02541842	-3.510153
Min03	Min08	Min11	161412	163392	-0.006095984	-0.006095984	0.02251072	-0.2708036
Min04	Min08	Min11	161224	152079	0.029189	0.029189	0.0209162	1.395521
Min05	Min08	Min11	160201	165064	-0.01495089	-0.01495089	0.0256866	-0.58205
Min06	Min08	Min11	161194	167980	-0.02061524	-0.02061524	0.02522561	-0.8172345
Min07	Min08	Min11	161363	153129	0.02618191	0.02618191	0.02345294	1.116359
Min01	Min09	Min11	159866	165909	-0.01854961	-0.01854961	0.0224505	-0.826245
Min02	Min09	Min11	153990	190926	-0.1070869	-0.1070869	0.02616343	-4.093002
Min03	Min09	Min11	162441	170355	-0.02378033	-0.02378033	0.02387151	-0.9961807
Min04	Min09	Min11	159262	155985	0.01039502	0.01039502	0.02363829	0.4397536
Min05	Min09	Min11	158056	168651	-0.03242967	-0.03242967	0.02504975	-1.29461
Min06	Min09	Min11	159042	171557	-0.03785553	-0.03785553	0.02528765	-1.496996
Min07	Min09	Min11	159190	156920	0.007181045	0.007181045	0.02442223	0.2940372
Min08	Min09	Min11	150751	156452	-0.01855776	-0.01855776	0.02169852	-0.8552547
Min01	Min10	Min11	150102	165821	-0.04975579	-0.04975579	0.0230698	-2.15675
Min02	Min10	Min11	147881	195128	-0.1377427	-0.1377427	0.02744673	-5.018549
Min03	Min10	Min11	142202	159756	-0.05813391	-0.05813391	0.02414119	-2.40808
Min04	Min10	Min11	154227	160589	-0.02020863	-0.02020863	0.02451217	-0.8244326
Min05	Min10	Min11	148331	168627	-0.06403372	-0.06403372	0.02586962	-2.475248
Min06	Min10	Min11	139126	161487	-0.07438467	-0.07438467	0.02412864	-3.082838
Min07	Min10	Min11	149990	157367	-0.02400141	-0.02400141	0.02512514	-0.9552743
Min08	Min10	Min11	148194	163751	-0.04987097	-0.04987097	0.02429221	-2.052962
Min09	Min10	Min11	152218	161477	-0.02951593	-0.02951593	0.02427275	-1.216011
Min01	BosCrete01	Min11	124855	167643	-0.1462848	-0.1462848	0.02543925	-5.750356
Min02	BosCrete01	Min11	135134	209421	-0.2156027	-0.2156027	0.03075831	-7.009578
Min03	BosCrete01	Min11	122075	166749	-0.1546755	-0.1546755	0.02533773	-6.104552
Min04	BosCrete01	Min11	126494	159880	-0.1165818	-0.1165818	0.02773074	-4.204065
Min05	BosCrete01	Min11	125558	172880	-0.1585656	-0.1585656	0.0281981	-5.623272
Min06	BosCrete01	Min11	114702	164182	-0.1774214	-0.1774214	0.02585395	-6.862451
Min07	BosCrete01	Min11	140891	175322	-0.1088855	-0.1088855	0.02903344	-3.750347
Min08	BosCrete01	Min11	127512	170211	-0.1434185	-0.1434185	0.02941292	-4.876039
Min09	BosCrete01	Min11	136374	172287	-0.1163509	-0.1163509	0.0281737	-4.129772
Min10	BosCrete01	Min11	113657	140641	-0.1061117	-0.1061117	0.02357669	-4.500704
Min01	BosCrete02	Min11	127406	164625	-0.1274488	-0.1274488	0.02509823	-5.077999
Min02	BosCrete02	Min11	137121	205849	-0.2003907	-0.2003907	0.03089413	-6.486368
Min03	BosCrete02	Min11	124692	163818	-0.135614	-0.135614	0.02583079	-5.250092
Min04	BosCrete02	Min11	131072	158836	-0.09576831	-0.09576831	0.02863823	-3.344072
Min05	BosCrete02	Min11	131873	173647	-0.1367308	-0.1367308	0.02923258	-4.677343
Min06	BosCrete02	Min11	117497	161436	-0.1575253	-0.1575253	0.02540306	-6.201036
Min07	BosCrete02	Min11	141274	170179	-0.09280694	-0.09280694	0.02857796	-3.247501
Min08	BosCrete02	Min11	131443	168543	-0.1236724	-0.1236724	0.02953457	-4.187379
Min09	BosCrete02	Min11	140664	171043	-0.09746011	-0.09746011	0.02888038	-3.374613
Min10	BosCrete02	Min11	117953	139429	-0.08344018	-0.08344018	0.02426017	-3.439389
BosCrete01	BosCrete02	Min11	65461	59914	0.04424327	0.04424327	0.01259506	3.512747
Min01	BosCrete03	Min11	124280	164767	-0.1400706	-0.1400706	0.02559574	-5.472421
Min02	BosCrete03	Min11	133718	205331	-0.2112173	-0.2112173	0.03099493	-6.814575
Min03	BosCrete03	Min11	120969	163415	-0.1492559	-0.1492559	0.02540652	-5.87471
Min04	BosCrete03	Min11	125809	157044	-0.1104284	-0.1104284	0.02774428	-3.980222
Min05	BosCrete03	Min11	125180	170193	-0.1523938	-0.1523938	0.02834085	-5.377176
Min06	BosCrete03	Min11	114729	161848	-0.1703649	-0.1703649	0.02625845	-6.488002
Min07	BosCrete03	Min11	140036	172241	-0.1031296	-0.1031296	0.02916062	-3.536605
Min08	BosCrete03	Min11	126923	167298	-0.1372268	-0.1372268	0.02952825	-4.647305
Min09	BosCrete03	Min11	135449	169211	-0.1108186	-0.1108186	0.02827621	-3.919147
Min10	BosCrete03	Min11	112997	137972	-0.09951428	-0.09951428	0.02386765	-4.169421
BosCrete01	BosCrete03	Min11	59819	58099	0.01458641	0.01458641	0.007318497	1.993088
BosCrete02	BosCrete03	Min11	59588	63331	-0.03045095	-0.03045095	0.01318759	-2.30906
Min01	BosCrete04	Min11	123770	165522	-0.1443248	-0.1443248	0.02534759	-5.693826
Min02	BosCrete04	Min11	134222	207243	-0.2138462	-0.2138462	0.03085758	-6.930103
Min03	BosCrete04	Min11	121591	165248	-0.1522004	-0.1522004	0.02526816	-6.023406
Min04	BosCrete04	Min11	126498	158864	-0.1134208	-0.1134208	0.02788126	-4.067996
Min05	BosCrete04	Min11	125303	171568	-0.1558421	-0.1558421	0.02824631	-5.517254
Min06	BosCrete04	Min11	114431	162791	-0.174445	-0.174445	0.02620152	-6.657821
Min07	BosCrete04	Min11	140403	173775	-0.10622	-0.10622	0.02920425	-3.637144
Min08	BosCrete04	Min11	126730	168329	-0.1409854	-0.1409854	0.02952143	-4.775695
Min09	BosCrete04	Min11	134988	169799	-0.1142142	-0.1142142	0.02819366	-4.05106
Min10	BosCrete04	Min11	113081	139113	-0.1032221	-0.1032221	0.02369062	-4.357089
BosCrete01	BosCrete04	Min11	59199	58441	0.006443387	0.006443387	0.00818004	0.7876962
BosCrete02	BosCrete04	Min11	58922	63731	-0.03920817	-0.03920817	0.01293562	-3.031023
BosCrete03	BosCrete04	Min11	57105	58096	-0.008602356	-0.008602356	0.007150785	-1.202995
Min01	BosCrete05	Min11	122849	164127	-0.1438378	-0.1438378	0.02584046	-5.566379
Min02	BosCrete05	Min11	133899	206146	-0.2124631	-0.2124631	0.03103894	-6.845048
Min03	BosCrete05	Min11	119971	163326	-0.1530373	-0.1530373	0.0257253	-5.948901
Min04	BosCrete05	Min11	125248	157341	-0.1135678	-0.1135678	0.02786079	-4.076257
Min05	BosCrete05	Min11	124266	170139	-0.155816	-0.155816	0.02831235	-5.503463
Min06	BosCrete05	Min11	113584	161629	-0.1745739	-0.1745739	0.02606844	-6.696753
Min07	BosCrete05	Min11	138386	171495	-0.1068442	-0.1068442	0.02937904	-3.636751
Min08	BosCrete05	Min11	125797	167001	-0.140725	-0.140725	0.02962175	-4.750733
Min09	BosCrete05	Min11	134305	168737	-0.1136212	-0.1136212	0.02848347	-3.989023
Min10	BosCrete05	Min11	110342	136321	-0.1053218	-0.1053218	0.02370885	-4.442301
BosCrete01	BosCrete05	Min11	59246	58787	0.003888743	0.003888743	0.007099028	0.5477853
BosCrete02	BosCrete05	Min11	59510	64461	-0.03993676	-0.03993676	0.01298567	-3.075448
BosCrete03	BosCrete05	Min11	58565	59719	-0.00975618	-0.00975618	0.008117698	-1.201841
BosCrete04	BosCrete05	Min11	57655	57893	-0.00205975	-0.00205975	0.008477421	-0.242969
Min01	BosCrete06	Min11	124976	166917	-0.1436862	-0.1436862	0.02547086	-5.6412
Min02	BosCrete06	Min11	134953	208299	-0.2136797	-0.2136797	0.03096073	-6.901638
Min03	BosCrete06	Min11	121707	165505	-0.1524936	-0.1524936	0.02518414	-6.055145
Min04	BosCrete06	Min11	126472	158864	-0.1135223	-0.1135223	0.0281111	-4.038344
Min05	BosCrete06	Min11	126126	172623	-0.155639	-0.155639	0.02835088	-5.489743
Min06	BosCrete06	Min11	115131	163695	-0.1741731	-0.1741731	0.02605093	-6.685871
Min07	BosCrete06	Min11	141073	174611	-0.1062392	-0.1062392	0.02919352	-3.639134
Min08	BosCrete06	Min11	127274	169067	-0.1410301	-0.1410301	0.02936036	-4.803418
Min09	BosCrete06	Min11	135978	170954	-0.1139536	-0.1139536	0.02835303	-4.019097
Min10	BosCrete06	Min11	113252	139423	-0.1035757	-0.1035757	0.02368964	-4.372196
BosCrete01	BosCrete06	Min11	59598	58817	0.006595448	0.006595448	0.008590923	0.7677229
BosCrete02	BosCrete06	Min11	59381	64150	-0.03860569	-0.03860569	0.01341497	-2.877808
BosCrete03	BosCrete06	Min11	58058	58984	-0.00791169	-0.00791169	0.008409646	-0.9407875
BosCrete04	BosCrete06	Min11	58284	58280	3.431591e-05	3.431591e-05	0.009048071	0.003792622
BosCrete05	BosCrete06	Min11	58851	58526	0.002768856	0.002768856	0.008127888	0.3406612
Min01	BosCrete07	Min11	124147	166623	-0.1460811	-0.1460811	0.02555753	-5.715775
Min02	BosCrete07	Min11	134240	208114	-0.2157825	-0.2157825	0.03073871	-7.019893
Min03	BosCrete07	Min11	121676	166025	-0.1541496	-0.1541496	0.02531078	-6.090274
Min04	BosCrete07	Min11	125911	158967	-0.1160356	-0.1160356	0.02761615	-4.201732
Min05	BosCrete07	Min11	124826	171819	-0.1584149	-0.1584149	0.02825804	-5.606013
Min06	BosCrete07	Min11	114658	163808	-0.1765027	-0.1765027	0.02598529	-6.792407
Min07	BosCrete07	Min11	140416	174630	-0.1086	-0.1086	0.02907667	-3.734953
Min08	BosCrete07	Min11	126891	169314	-0.1432218	-0.1432218	0.02963782	-4.832398
Min09	BosCrete07	Min11	135580	171155	-0.1159796	-0.1159796	0.02821003	-4.11129
